档位,院校代号,院校名称,专业组类型,2025专业组名称,2025投档线,2025投档位次,位次比值,2026有美术计划,2026计划人数,2026美术组数,2025备注要求
垫底(过保),5109,乐山师范学院,普通,第101组(美术与设计类),283.0,7575,3.2,是,6,1,
垫底(过保),4259,荆楚理工学院,普通,第102组(美术与设计类),282.8,7645,3.23,是,11,1,
垫底(过保),5240,铜仁学院,普通,第103组(美术与设计类),282.8,7645,3.23,是,2,1,
垫底(过保),4321,邵阳学院,普通,第104组(美术与设计类),282.8,7645,3.23,是,141,1,
垫底(过保),4422,嘉应学院,普通,第104组(美术与设计类),282.8,7645,3.23,是,10,1,
垫底(过保),4836,武汉传媒学院,普通,第106组(美术与设计类),282.7,7681,3.25,是,5,1,
垫底(过保),4326,湘南学院,普通,第104组(美术与设计类),282.6,7715,3.26,是,124,1,
垫底(过保),1360,石家庄学院,普通,第102组(美术与设计类),282.5,7747,3.28,是,5,1,
垫底(过保),4537,桂林师范学院,普通,第102组(美术与设计类),282.5,7747,3.28,是,20,2,
垫底(过保),3443,宿州学院,普通,第103组(美术与设计类),282.5,7747,3.28,是,6,1,
垫底(过保),4112,南阳理工学院,普通,第104组(美术与设计类),282.5,7747,3.28,是,10,1,
垫底(过保),3138,上海视觉艺术学院,普通,第106组(美术与设计类),282.5,7747,3.28,是,30,1,
垫底(过保),4333,湖南人文科技学院,普通,第104组(美术与设计类),282.4,7774,3.29,是,110,1,
垫底(过保),1165,北京城市学院,普通,第106组(美术与设计类),282.3,7793,3.3,是,5,1,
垫底(过保),4542,广西科技师范学院,普通,第103组(美术与设计类),282.2,7824,3.31,是,6,1,
垫底(过保),5246,安顺学院,普通,第104组(美术与设计类),282.2,7824,3.31,是,2,2,
垫底(过保),5384,滇西科技师范学院,普通,第101组(美术与设计类),282.1,7859,3.32,是,2,1,
垫底(过保),4541,梧州学院,普通,第103组(美术与设计类),282.1,7859,3.32,是,5,1,
垫底(过保),6118,渭南师范学院,普通,第103组(美术与设计类),282.1,7859,3.32,是,11,2,
垫底(过保),5209,黔南民族师范学院,普通,第110组(美术与设计类),282.1,7859,3.32,是,10,2,
垫底(过保),4126,安阳师范学院,普通,第101组(美术与设计类),282.0,7888,3.34,是,5,1,
垫底(过保),4451,广州商学院,普通,第101组(美术与设计类),281.9,7914,3.35,是,5,1,
垫底(过保),4125,周口师范学院,普通,第104组(美术与设计类),281.9,7914,3.35,是,21,2,
垫底(过保),4138,安阳工学院,普通,第102组(美术与设计类),281.8,7939,3.36,是,4,1,
垫底(过保),4549,广西民族师范学院,普通,第103组(美术与设计类),281.8,7939,3.36,是,12,1,
垫底(过保),2112,鞍山师范学院,普通,第103组(美术与设计类),281.7,7963,3.37,是,10,1,
垫底(过保),4102,河南城建学院,普通,第101组(美术与设计类),281.6,7988,3.38,是,7,1,
垫底(过保),5246,安顺学院,普通,第105组(美术与设计类),281.6,7988,3.38,是,2,2,
垫底(过保),4513,玉林师范学院,普通,第104组(美术与设计类),281.5,8010,3.39,是,27,1,
垫底(过保),1420,忻州师范学院,普通,第106组(美术与设计类),281.5,8010,3.39,是,3,1,
垫底(过保),5177,四川文化艺术学院,普通,第106组(美术与设计类),281.5,8010,3.39,是,5,2,
垫底(过保),4539,贺州学院,普通,第103组(美术与设计类),281.4,8028,3.4,是,28,1,
垫底(过保),3724,德州学院,普通,第106组(美术与设计类),281.3,8053,3.41,是,10,1,
垫底(过保),6509,伊犁师范大学,普通,第106组(美术与设计类),281.3,8053,3.41,是,10,1,
垫底(过保),4543,百色学院,普通,第104组(美术与设计类),281.2,8075,3.42,是,11,1,
垫底(过保),2354,绥化学院,普通,第105组(美术与设计类),281.2,8075,3.42,是,4,1,
垫底(过保),5317,楚雄师范学院,普通,第102组(美术与设计类),281.0,8123,3.44,是,5,1,
垫底(过保),6115,陕西学前师范学院,普通,第102组(美术与设计类),281.0,8123,3.44,是,2,1,
垫底(过保),6156,商洛学院,普通,第102组(美术与设计类),281.0,8123,3.44,是,8,1,
垫底(过保),4544,河池学院,普通,第104组(美术与设计类),281.0,8123,3.44,是,20,1,
垫底(过保),5137,四川工商学院,普通,第102组(美术与设计类),280.9,8151,3.45,是,7,1,
垫底(过保),6510,新疆艺术学院,普通,第104组(美术与设计类),280.6,8216,3.48,是,31,1,
垫底(过保),5135,电子科技大学成都学院,普通,第101组(美术与设计类),280.4,8264,3.5,是,8,1,
