年份,综合成绩,本段人数,累计人数
2026,342.2,1,122
2026,342.0,1,123
2026,341.9,1,124
2026,341.8,1,125
2026,341.6,1,126
2026,341.5,1,127
2026,341.4,3,130
2026,341.3,1,131
2026,341.2,2,133
2026,341.1,1,134
2026,341.0,1,135
2026,340.9,1,136
2026,340.7,2,138
2026,340.5,1,139
2026,340.4,3,142
2026,340.1,1,143
2026,339.9,2,145
2026,339.8,2,147
2026,339.7,3,150
2026,339.6,2,152
2026,339.5,2,154
2026,339.4,3,157
2026,339.3,1,158
2026,339.2,3,161
2026,339.1,1,162
2026,339.0,2,164
2026,338.9,1,165
2026,338.8,2,167
2026,338.7,2,169
2026,338.6,2,171
2026,338.5,2,173
2026,338.4,2,175
2026,338.3,1,176
2026,338.0,1,177
2026,337.9,1,178
2026,337.7,2,180
2026,337.6,1,181
2026,337.5,2,183
2026,337.4,5,188
2026,337.3,2,190
2026,337.2,4,194
2026,337.1,1,195
2026,337.0,3,198
2026,336.9,6,204
2026,336.8,4,208
2026,336.7,2,210
2026,336.5,5,215
2026,336.4,2,217
2026,336.3,2,219
2026,336.2,1,220
2026,336.1,2,222
2026,336.0,1,223
2026,335.9,3,226
2026,335.8,2,228
2026,335.7,1,229
2026,335.6,2,231
2026,335.5,2,233
2026,335.4,1,234
2026,335.3,3,237
2026,335.2,1,238
2026,335.1,2,240
2026,335.0,3,243
2026,334.9,3,246
2026,334.8,4,250
2026,334.7,3,253
2026,334.6,2,255
2026,334.5,2,257
2026,334.4,1,258
2026,334.3,1,259
2026,334.2,1,260
2026,334.1,1,261
2026,334.0,1,262
2026,333.9,2,264
2026,333.8,2,266
2026,333.6,4,270
2026,333.5,4,274
2026,333.4,4,278
2026,333.3,4,282
2026,333.2,1,283
2026,333.1,1,284
2026,333.0,5,289
2026,332.8,3,292
2026,332.7,3,295
2026,332.6,4,299
2026,332.5,4,303
2026,332.4,3,306
2026,332.2,6,312
2026,332.1,6,318
2026,332.0,4,322
2026,331.9,3,325
2026,331.8,3,328
2026,331.7,2,330
2026,331.6,3,333
2026,331.5,3,336
2026,331.4,3,339
2026,331.3,3,342
2026,331.2,3,345
2026,331.1,4,349
2026,331.0,2,351
2026,330.9,6,357
2026,330.8,4,361
2026,330.7,1,362
2026,330.6,7,369
2026,330.4,4,373
2026,330.3,4,377
2026,330.2,4,381
2026,330.1,1,382
2026,330.0,5,387
2026,329.9,3,390
2026,329.8,1,391
2026,329.7,2,393
2026,329.6,1,394
2026,329.5,4,398
2026,329.4,5,403
2026,329.3,3,406
2026,329.2,1,407
2026,329.1,2,409
2026,329.0,1,410
2026,328.9,1,411
2026,328.8,6,417
